"idObs","idPot","decimalDay","HourOnDay","E","nobs","min_decimalDay","max_decimalDay","surface","E_mmol_per_m2_s","idGenotype","idPotManip","Sowing","Sowing_decimalDay","Measuring_decimalDay","Days_Sowing_to_measuring","meanVPD","E_mmol_per_m2_s_kPa","SWC","idWatering","Time","Exact_Time_min"
4086,"126",103.5,0.5,0.00763315634731372,13,103.364641203704,103.62505787037,4487.61354411324,1.70093887815423,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.937973684210526,1.81341854978147,1.36773739081431,"WW",0.166666666666671,240
4087,"126",103.520833333333,0.5208333333,0.00775945014780936,12,103.395891203704,103.645891203704,4493.33620860633,1.72687949166752,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.936027777777778,1.84490197050273,1.36171016483516,"WW",0.1875,270
4088,"126",103.541666666667,0.5416666667,0.00781761423199599,12,103.416724537037,103.666724537037,4497.09333410324,1.73837046536524,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.938055555555556,1.85316365866594,1.35757656695157,"WW",0.208333333333343,300
4089,"126",103.5625,0.5625,0.00786951849052646,12,103.463946759259,103.68755787037,4500.41782090657,1.74861952905102,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.933787878787879,1.87260893911029,1.35342516280016,"WW",0.229166666666671,330
4090,"126",103.583333333333,0.5833333333,0.00786951849052646,12,103.463946759259,103.68755787037,4500.41782090657,1.74861952905102,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.933787878787879,1.87260893911029,1.35342516280016,"WW",0.25,360
4091,"126",103.604166666667,0.6041666667,0.00785058792554421,12,103.479224537037,103.729212962963,4503.83338954012,1.7430902181632,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.933444444444444,1.86737435584678,1.34934243996744,"WW",0.270833333333343,390
4092,"126",103.625,0.625,0.00781102083303904,12,103.50005787037,103.75005787037,4507.59032528321,1.732859525682,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.931694444444444,1.85990110385952,1.34518086080586,"WW",0.291666666666671,420
4093,"126",103.645833333333,0.6458333333,0.00775695394370832,12,103.52087962963,103.77087962963,4511.34764053393,1.71943165585666,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.934888888888889,1.83918289787378,1.34101546601547,"WW",0.3125,450
4094,"126",103.666666666667,0.6666666667,0.00769180547594941,12,103.541747685185,103.791724537037,4515.1041967694,1.70357208621076,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.934166666666667,1.8236275677546,1.33686787749288,"WW",0.333333333333343,480
4095,"126",103.6875,0.6875,0.00760041223059978,13,103.563263888889,103.81255787037,4520.58861672513,1.68128818501202,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.930166666666667,1.80751283104678,1.33118014464168,"WW",0.354166666666671,510
4096,"126",103.708333333333,0.7083333333,0.00750695616439207,14,103.583391203704,103.833391203704,4525.45324322653,1.65882968200547,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.928333333333333,1.78689014219619,1.32611634397349,"WW",0.375,540
4097,"126",103.729166666667,0.7291666667,0.00743603691421235,12,103.62505787037,103.833391203704,4529.09645318438,1.64183673080844,"bam1 bam3","C2M43-126",2018-02-27,58,102,44,0.925333333333333,1.77431923358261,1.32221459096459,"WW",0.395833333333343,570
