"idObs","idPot","decimalDay","HourOnDay","E","nobs","min_decimalDay","max_decimalDay","surface","E_mmol_per_m2_s","idPotManip","idGenotype","idWatering","Sowing","Sowing_decimalDay","Measuring_decimalDay","Days_Sowing_to_measuring","meanVPD","E_mmol_per_m2_s_kPa","SWC","Time","Exact_Time_min"
73,"55",52.1041666666667,0.1041666667,0.00208174928854901,6,52.0001157407407,52.2084259259259,4323.864077676,0.48145576529499,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7324,0.657367238250943,1.22125694671461,0.770833333333329,1110
74,"55",52.125,0.125,0.0020981635360168,7,52.0001157407407,52.2501041666667,4330.76722828126,0.484478482776709,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.731444444444444,0.662358551570771,1.2201302946808,0.791666666666664,1140
75,"55",52.1458333333333,0.1458333333,0.00211891045261343,6,52.0417592592593,52.2501041666667,4337.68139992867,0.488489185178118,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.732533333333333,0.666849087884216,1.21903672224038,0.8125,1170
76,"55",52.1666666666667,0.1666666667,0.00213658166072419,7,52.0417592592593,52.2917592592593,4344.60661021359,0.491777933519084,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.732111111111111,0.671725816007248,1.21788866576379,0.833333333333329,1200
77,"55",52.1875,0.1875,0.00215932006402769,7,52.0834143518519,52.3161458333333,4351.54287675947,0.496219415775516,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.730393939393939,0.679385998447996,1.21573109793116,0.854166666666664,1230
78,"55",52.2083333333333,0.2083333333,0.00218153033322954,9,52.0834143518519,52.3334143518519,4358.49021721789,0.500524315647554,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.729472222222222,0.686145819401849,1.21418401075152,0.875,1260
79,"55",52.2291666666667,0.2291666667,0.00220845068114789,8,52.1250925925926,52.3334143518519,4365.44864926859,0.505893175840679,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7284,0.694526600550081,1.21316606734227,0.895833333333329,1290
80,"55",52.25,0.25,0.0022266667370367,7,52.1667592592593,52.3334143518519,4372.41819061958,0.509252921372825,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.727583333333333,0.699923841080506,1.21215850184467,0.916666666666664,1320
81,"55",52.2708333333333,0.2708333333,0.00226011287865277,6,52.2084259259259,52.3334143518519,4379.39885900711,0.51607833664303,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.726666666666667,0.710199545839032,1.21119646943446,0.9375,1350
82,"55",52.2916666666667,0.2916666667,0.00226011287865277,6,52.2084259259259,52.3334143518519,4386.39067219576,0.51525571878015,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.726666666666667,0.709067502908463,1.21119646943446,0.958333333333329,1380
83,"55",52.3125,0.3125,0.00228352965432843,5,52.2501041666667,52.3334143518519,4393.39364797846,0.519764409314688,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.726666666666667,0.715272122910121,1.21029421379536,0.979166666666664,1410
84,"55",52.3333333333333,0.3333333333,0.00228352965432843,5,52.2501041666667,52.3334143518519,4400.40780417657,0.518935915930577,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.726666666666667,0.714131994399876,1.21029421379536,1,1440
85,"55",52.3541666666667,0.3541666667,0.00474726187220361,5,52.3334143518519,52.3959259259259,4407.43315863986,1.07710354333964,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.746,1.4438385299459,1.20555083360575,1.02083333333333,1470
86,"55",52.375,0.375,0.00502045548660264,6,52.3334143518519,52.4167824074074,4414.46972924665,1.13727260453078,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.74975,1.51686909573963,1.20429061784897,1.04166666666666,1500
87,"55",52.3958333333333,0.3958333333,0.00517021220851685,7,52.3334143518519,52.4375810185185,4421.51753390375,1.16932979884671,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7504,1.55827531829252,1.20297015831504,1.0625,1530
88,"55",52.4166666666667,0.4166666667,0.00536062245262359,9,52.3334143518519,52.4792476851852,4428.57659054661,1.21046172354037,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.753285714285714,1.60690917215676,1.20019614253024,1.08333333333333,1560
89,"55",52.4375,0.4375,0.00548989712454133,11,52.3334143518519,52.5209143518519,4435.64691713927,1.23767676442605,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.754111111111111,1.64123926327309,1.19730601206574,1.10416666666666,1590
90,"55",52.4583333333333,0.4583333333,0.00558978767367455,13,52.3334143518519,52.5625925925926,4442.72853167449,1.25818798826489,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.754363636363636,1.66787995552106,1.19433324112958,1.125,1620
91,"55",52.4791666666667,0.4791666667,0.00565832991933174,14,52.3438425925926,52.6042592592593,4449.82145217371,1.27158583330747,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.756105263157895,1.68175768013656,1.21478657824686,1.14583333333333,1650
92,"55",52.5,0.5,0.00572915622603561,13,52.3750810185185,52.6250925925926,4456.9256966872,1.28545024439022,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.757805555555556,1.69627978439383,1.22565443709608,1.16666666666666,1680
93,"55",52.5208333333333,0.5208333333,0.00570941121541864,13,52.3959259259259,52.6459259259259,4464.04128329398,1.27897813955827,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.757944444444444,1.68742992831847,1.23594437599014,1.1875,1710
94,"55",52.5416666666667,0.5416666667,0.00565900017919705,13,52.4167824074074,52.6667824074074,4471.168230102,1.26566478556947,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758555555555556,1.66851956498099,1.24624688812332,1.20833333333333,1740
95,"55",52.5625,0.5625,0.00564773423001914,12,52.4375810185185,52.6667824074074,4478.30655524805,1.26113167116723,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.759060606060606,1.66143738865897,1.25026833387817,1.22916666666666,1770
96,"55",52.5833333333333,0.5833333333,0.00552044661033357,13,52.4584259259259,52.7153587962963,4485.45627689796,1.23074360099468,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758351351351351,1.62292003409968,1.29087182840043,1.25,1800
97,"55",52.6041666666667,0.6041666667,0.00543833350642971,13,52.4792476851852,52.7327314814815,4492.61741324648,1.21050448017113,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758694444444444,1.59550987757335,1.31329368571931,1.27083333333333,1830
98,"55",52.625,0.625,0.00536053416675483,13,52.5001041666667,52.7500810185185,4499.78998251747,1.19128541278182,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758472222222222,1.57063815638695,1.33576080669902,1.29166666666666,1860
99,"55",52.6458333333333,0.6458333333,0.0052914060024125,13,52.5209143518519,52.7709837962963,4506.97400296383,1.17404848550997,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758277777777778,1.54830923431603,1.35825055950914,1.3125,1890
100,"55",52.6666666666667,0.6666666667,0.00524673145070166,13,52.5417592592593,52.7917592592593,4514.16949286767,1.16228056101824,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758416666666667,1.53250925527073,1.38076294414967,1.33333333333333,1920
101,"55",52.6875,0.6875,0.00521527283043664,13,52.5625925925926,52.8125925925926,4521.3764705402,1.15347015768708,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.758444444444444,1.52083671537997,1.40331053385973,1.35416666666666,1950
102,"55",52.7083333333333,0.7083333333,0.00520225428558768,14,52.5869328703704,52.8333912037037,4528.59495432196,1.14875680825082,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.7575,1.51651063795488,1.42913650586093,1.375,1980
103,"55",52.7291666666667,0.7291666667,0.00517713071928306,12,52.6250925925926,52.8333912037037,4535.82496258269,1.14138679556435,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.757266666666667,1.50724552631968,1.4432140132941,1.39583333333333,2010
104,"55",52.75,0.75,0.00519662687526644,10,52.6667824074074,52.8333912037037,4543.06651372152,1.14385885823396,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.755916666666667,1.51320761755127,1.46403236351749,1.41666666666666,2040
105,"55",52.7708333333333,0.7708333333,0.0052129277221164,9,52.6993865740741,52.8333912037037,4550.31962616689,1.1456179236595,"C3M31-55","Col-0","WW",2018-01-10,10,50,40,0.75535,1.51667164051036,1.47836438923395,1.4375,2070
