"","file","pot_number","year","month","date","time","date_time","Rosette_area_px","Areamm2","X","Experiment","idPot","file_3","Date1","file_5","Year","Month","Day","idPotManip","idGenotype","Treatment","decimalDay","outlier"
"590","C2M47-249-V-20190305-0048.JPG",249,2019,"Mar","2019-03-05","14:34:09",321.148720466,62341,622.165047739,NA,"C2M47",249,"V",20190305,"0048.JPG","2019","03","05","C2M47-249","mex1-1","WW",64.9659722222222,FALSE
"591","C2M47-250-V-20190305-0048.JPG",250,2019,"Mar","2019-03-05","14:34:09",321.148721066,180848,1804.86845822,NA,"C2M47",250,"V",20190305,"0048.JPG","2019","03","05","C2M47-250","pgm-1","WW",64.9659722222222,FALSE
"592","C2M47-251-V-20190305-0048.JPG",251,2019,"Mar","2019-03-05","14:34:09",321.148721626,192835,1924.49907735,NA,"C2M47",251,"V",20190305,"0048.JPG","2019","03","05","C2M47-251","amy3-2","WW",64.9666666666667,FALSE
"593","C2M47-252-V-20190305-0048.JPG",252,2019,"Mar","2019-03-05","14:34:09",321.148722179,168384,1680.47736479,NA,"C2M47",252,"V",20190305,"0048.JPG","2019","03","05","C2M47-252","bam1bam3","WW",64.9666666666667,FALSE
"594","C2M47-253-V-20190305-0048.JPG",253,2019,"Mar","2019-03-05","14:34:09",321.148723223,219458,2190.19741497,NA,"C2M47",253,"V",20190305,"0048.JPG","2019","03","05","C2M47-253","pgm-1","WS",64.9604166666667,FALSE
"595","C2M47-254-V-20190305-0048.JPG",254,2019,"Mar","2019-03-05","14:34:09",321.148724177,220403,2199.62854328,NA,"C2M47",254,"V",20190305,"0048.JPG","2019","03","05","C2M47-254","bam1","WW",64.9604166666667,FALSE
"596","C2M47-255-V-20190305-0048.JPG",255,2019,"Mar","2019-03-05","14:34:09",321.148725103,198281,1978.85032051,NA,"C2M47",255,"V",20190305,"0048.JPG","2019","03","05","C2M47-255","bam1bam3","WW",64.9604166666667,FALSE
"597","C2M47-256-V-20190305-0048.JPG",256,2019,"Mar","2019-03-05","14:34:09",321.148726,380973,3802.12195397,NA,"C2M47",256,"V",20190305,"0048.JPG","2019","03","05","C2M47-256","dpe1-2","WW",64.9597222222222,FALSE
"598","C2M47-257-V-20190305-0048.JPG",257,2019,"Mar","2019-03-05","14:34:09",321.14872681,267396,2668.6200912,NA,"C2M47",257,"V",20190305,"0048.JPG","2019","03","05","C2M47-257","bam3","WW",64.9611111111111,FALSE
"599","C2M47-258-V-20190305-0048.JPG",258,2019,"Mar","2019-03-05","14:34:10",321.148727732,209277,2088.59072995,NA,"C2M47",258,"V",20190305,"0048.JPG","2019","03","05","C2M47-258","amy3-2","WW",64.9611111111111,FALSE
"600","C2M47-259-V-20190305-0048.JPG",259,2019,"Mar","2019-03-05","14:34:10",321.148728242,144713,1444.24007561,NA,"C2M47",259,"V",20190305,"0048.JPG","2019","03","05","C2M47-259","amy3-2","WW",64.9659722222222,FALSE
"601","C2M47-260-V-20190305-0048.JPG",260,2019,"Mar","2019-03-05","14:34:10",321.148728815,197695,1973.00202295,NA,"C2M47",260,"V",20190305,"0048.JPG","2019","03","05","C2M47-260","pgm-1","WS",64.9659722222222,FALSE
"602","C2M47-261-V-20190305-0048.JPG",261,2019,"Mar","2019-03-05","14:34:10",321.148729474,117390,1171.55571701,NA,"C2M47",261,"V",20190305,"0048.JPG","2019","03","05","C2M47-261","bam1","WW",64.9659722222222,FALSE
"603","C2M47-262-V-20190305-0048.JPG",262,2019,"Mar","2019-03-05","14:34:10",321.148730164,319681,3190.42595766,NA,"C2M47",262,"V",20190305,"0048.JPG","2019","03","05","C2M47-262","dpe1-2","WW",64.9659722222222,FALSE
"604","C2M47-263-V-20190305-0048.JPG",263,2019,"Mar","2019-03-05","14:34:10",321.148730903,193588,1932.01403991,NA,"C2M47",263,"V",20190305,"0048.JPG","2019","03","05","C2M47-263","pgm-1","WS",64.9666666666667,FALSE
